Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
28-09-2023,123670,406710,64560,354030,227380000,56140000,116510000,19300000,67240,22360000,42170000,7020,4360000,53840000,21850000,231420
27-09-2023,1880,504630,50800,307590,250390000,66500000,136060000,19310000,66470,22690000,43680000,7950,3830000,65910000,35900000,238530
26-09-2023,57090,318020,26410,141610,243610000,64230000,101530000,26060000,52630,25660000,40020000,7340,4050000,70260000,19310000,212260
25-09-2023,36180,328370,38200,191410,184670000,45990000,104090000,16540000,55990,19310000,41250000,9500,3720000,45420000,17290000,164260
22-09-2023,52640,402090,28790,135120,230720000,56730000,127520000,21450000,53720,26400000,47920000,8090,3700000,59900000,25370000,139930
21-09-2023,99970,351030,47810,264250,281450000,61710000,119130000,34450000,73840,31450000,44610000,7830,5530000,68130000,21000000,225910
20-09-2023,140310,35990,47230,253880,212790000,55690000,121790000,20160000,57730,29440000,35940000,7850,3830000,44020000,18760000,220980
19-09-2023,164810,94600,52170,201840,211520000,50490000,103160000,16490000,40410,18640000,36830000,7760,4070000,60920000,15800000,131100
18-09-2023,128310,119260,63350,302350,216290000,65110000,100730000,16630000,46570,21630000,48530000,10080,4700000,40650000,13670000,138030
15-09-2023,127780,315000,36470,194290,756250000,109260000,133690000,37680000,67110,38920000,50680000,8340,9120000,102910000,28130000,199770
14-09-2023,154080,325270,53820,293640,244110000,59630000,107090000,20170000,84600,24680000,35710000,7600,10680000,62980000,19280000,201740
13-09-2023,191710,345970,42580,238310,223410000,83450000,111170000,16470000,49960,20710000,39090000,4940,11790000,59680000,12750000,161000
12/9/2023,202190,341140,78710,354590,221550000,89920000,135440000,17160000,40980,18330000,34280000,8290,3120000,41880000,13200000,161990
11/9/2023,110880,292390,56320,444950,245990000,58330000,173390000,15860000,43210,20560000,46580000,10010,2910000,56360000,19420000,131080
8/9/2023,101230,294440,41010,236380,216670000,65600000,118560000,19550000,52750,23580000,47390000,7380,2700000,38370000,17280000,138690
7/9/2023,140330,270740,39770,243550,272710000,111940000,114030000,17810000,50650,17630000,43190000,7420,2910000,46100000,33150000,117170
6/9/2023,116660,307120,37780,240730,219290000,81160000,116510000,17350000,67140,18650000,46720000,7570,3860000,39290000,15130000,148780
5/9/2023,178330,452910,28400,219790,232980000,44730000,128780000,18090000,91770,19330000,37250000,10660,6150000,40000000,14840000,192790
1/9/2023,127250,420460,58080,319190,231030000,45770000,132540000,14940000,61530,21540000,46380000,8160,4790000,40990000,12790000,160730
31-08-2023,176020,368850,69110,355270,309880000,60210000,108140000,26260000,47180,29640000,51990000,7580,3800000,58300000,17180000,133710
30-08-2023,146880,299420,46540,218440,206480000,60590000,121660000,15000000,67030,26780000,72020000,7380,3620000,35170000,17490000,142380
